    PK09W51X  2015 06 25.1047  0.797682  0.740718  118.1314   31.6633    9.6002  20171014  19.0  2.0  P/2009 WX51 (Catalina)                                   MPC105235
    CK09Y010  2011 01 30.0810  2.501769  0.992782  127.1743  160.2937  107.3384  20171014   9.0  4.0  C/2009 Y1 (Catalina)                                     MPC 82316
    PK09Y020  2010 03 21.3440  2.377780  0.636549  172.4056  262.0171   29.9589  20171014  13.0  4.0  P/2009 Y2 (Kowalski)                                     MPC 74247
    PK10A010  2018 10 14.8279  1.956977  0.554044   13.3207   47.3176   10.3085  20171014  13.0  4.0  P/2010 A1 (Hill)                                         MPC 69417
    PK10A030  2025 03 20.6294  1.626641  0.732142   41.4601   64.6825   14.9784  20171014  14.0  4.0  P/2010 A3 (Hill)                                         MPC 75711
    CK10A040  2010 10 11.1635  2.724029  0.990524  271.5997  346.7028   96.7639  20171014  12.5  4.0  C/2010 A4 (Siding Spring)                                MPC 77403
    PK10A050  2021 10 16.6487  1.703088  0.665386  306.9930  277.6988    5.7924  20171014  13.0  4.0  P/2010 A5 (LINEAR)                                       MPC 72851
    CK10B010  2011 02  7.7616  2.944961  1.000023  211.6587  277.2680  101.8151  20171014   7.5  4.0  C/2010 B1 (Cardinal)                                     MPC 80896
    PK10B020  2015 06 13.2731  1.613775  0.480674  155.9836    0.8547    8.9378  20171014  17.0  4.0  P/2010 B2 (WISE)                                         MPC105235
    PK10C010  2009 12  3.0087  5.246547  0.260241    4.0541  141.8867    9.1375  20171014   9.5  4.0  P/2010 C1 (Scotti)                                       MPC 75008
    PK10D020  2010 02 27.9728  3.686564  0.450842  120.3531  319.8316   57.1142  20171014  16.0  4.0  P/2010 D2 (WISE)                                         MPC 75008
    CK10D030  2010 09  3.5712  4.245917  1.000022  304.6256  255.0800   76.3219  20171014   9.0  4.0  C/2010 D3 (WISE)                                         MPC 84315
    CK10D040  2009 03 26.1991  7.151700  0.885155   44.3629  266.7475  105.7686  20171014   6.5  4.0  C/2010 D4 (WISE)                                         MPC 76025
    CK10D56G  2010 05 16.8130  1.577136  0.976656  318.3980    4.1549  160.4085  20171014  16.0  4.0  C/2010 DG56 (WISE)                                       MPC 74248
    CK10E010  2009 11  4.6942  2.684469  0.976152  297.2141  169.1838   71.6096  20171014  11.5  4.0  C/2010 E1 (Garradd)                                      MPC 70361
    PK10E020  2010 04 10.5841  2.393514  0.722480    8.3036  177.8106   15.4664  20171014  14.0  4.0  P/2010 E2 (Jarnac)                                       MPC 75009
    CK10E050  2009 11 21.3345  3.902074  0.843831  148.0832   16.9128   18.9087  20171014  10.5  4.0  C/2010 E5 (Scotti)                                       MPC 70361
    CK10F010  2009 11  7.8144  3.614185  0.948064  127.7749  344.3224   64.8589  20171014   9.5  4.0  C/2010 F1 (Boattini)                                     MPC 72132
    CK10F030  2010 08  5.6996  5.459146  0.915270   31.4468  157.3216    4.6490  20171014   8.5  4.0  C/2010 F3 (Scotti)                                       MPC 82316
    CK10F87B  2010 11  5.1686  2.852387  0.987347  265.0806   90.0231  107.8428  20171014  10.0  4.0  C/2010 FB87 (WISE-Garradd)                               MPC 82316
    CK10G010  2010 04  1.8504  1.216358  0.997722  168.8144  287.5772   78.1907  20171014  12.5  4.0  C/2010 G1 (Boattini)                                     MPC 70816
    CK10G020  2011 09  2.2414  1.977872  0.978869  137.4302  247.0287  103.7564  20171014   8.0  4.0  C/2010 G2 (Hill)                                         MPC 83142
    CK10G030  2010 04  6.5707  4.920021  0.994930   75.2001  313.7751  108.3068  20171014   8.5  4.0  C/2010 G3 (WISE)                                         MPC 75292
